,rouge,SGC,WGC,LC,key
0,"{'rouge1_fmeasure': tensor(0.2838), 'rouge1_precision': tensor(0.2596), 'rouge1_recall': tensor(0.4127), 'rouge2_fmeasure': tensor(0.0931), 'rouge2_precision': tensor(0.0839), 'rouge2_recall': tensor(0.1400), 'rougeL_fmeasure': tensor(0.1927), 'rougeL_precision': tensor(0.1723), 'rougeL_recall': tensor(0.2913), 'rougeLsum_fmeasure': tensor(0.2379), 'rougeLsum_precision': tensor(0.2193), 'rougeLsum_recall': tensor(0.3484)}",0.04,0.88,0.88,gpt4_few_0_2_100_313.csv
1,"{'rouge1_fmeasure': tensor(0.2830), 'rouge1_precision': tensor(0.2559), 'rouge1_recall': tensor(0.4173), 'rouge2_fmeasure': tensor(0.0958), 'rouge2_precision': tensor(0.0863), 'rouge2_recall': tensor(0.1432), 'rougeL_fmeasure': tensor(0.1879), 'rougeL_precision': tensor(0.1663), 'rougeL_recall': tensor(0.2877), 'rougeLsum_fmeasure': tensor(0.2364), 'rougeLsum_precision': tensor(0.2155), 'rougeLsum_recall': tensor(0.3502)}",0.02,0.87,0.82,gpt4_few_0_3_100_313.csv
2,"{'rouge1_fmeasure': tensor(0.2882), 'rouge1_precision': tensor(0.2717), 'rouge1_recall': tensor(0.3977), 'rouge2_fmeasure': tensor(0.0929), 'rouge2_precision': tensor(0.0864), 'rouge2_recall': tensor(0.1308), 'rougeL_fmeasure': tensor(0.1900), 'rougeL_precision': tensor(0.1756), 'rougeL_recall': tensor(0.2709), 'rougeLsum_fmeasure': tensor(0.2356), 'rougeLsum_precision': tensor(0.2242), 'rougeLsum_recall': tensor(0.3269)}",0.06,0.91,0.87,gpt4_zero_0_100_100_313.csv
3,"{'rouge1_fmeasure': tensor(0.2824), 'rouge1_precision': tensor(0.2616), 'rouge1_recall': tensor(0.4048), 'rouge2_fmeasure': tensor(0.0970), 'rouge2_precision': tensor(0.0909), 'rouge2_recall': tensor(0.1415), 'rougeL_fmeasure': tensor(0.1877), 'rougeL_precision': tensor(0.1703), 'rougeL_recall': tensor(0.2791), 'rougeLsum_fmeasure': tensor(0.2330), 'rougeLsum_precision': tensor(0.2192), 'rougeLsum_recall': tensor(0.3344)}",0.01,0.9,0.88,gpt4_few_1_3_100_313.csv
4,"{'rouge1_fmeasure': tensor(0.2825), 'rouge1_precision': tensor(0.2730), 'rouge1_recall': tensor(0.3855), 'rouge2_fmeasure': tensor(0.0961), 'rouge2_precision': tensor(0.0932), 'rouge2_recall': tensor(0.1347), 'rougeL_fmeasure': tensor(0.1860), 'rougeL_precision': tensor(0.1773), 'rougeL_recall': tensor(0.2620), 'rougeLsum_fmeasure': tensor(0.2338), 'rougeLsum_precision': tensor(0.2290), 'rougeLsum_recall': tensor(0.3208)}",0.01,0.9,0.9,gpt4_few_1_0_100_313.csv
5,"{'rouge1_fmeasure': tensor(0.2860), 'rouge1_precision': tensor(0.2764), 'rouge1_recall': tensor(0.3828), 'rouge2_fmeasure': tensor(0.0942), 'rouge2_precision': tensor(0.0914), 'rouge2_recall': tensor(0.1295), 'rougeL_fmeasure': tensor(0.1898), 'rougeL_precision': tensor(0.1803), 'rougeL_recall': tensor(0.2639), 'rougeLsum_fmeasure': tensor(0.2386), 'rougeLsum_precision': tensor(0.2336), 'rougeLsum_recall': tensor(0.3205)}",0.01,0.88,0.9,gpt4_few_1_1_100_313.csv
6,"{'rouge1_fmeasure': tensor(0.2881), 'rouge1_precision': tensor(0.2649), 'rouge1_recall': tensor(0.4096), 'rouge2_fmeasure': tensor(0.0991), 'rouge2_precision': tensor(0.0914), 'rouge2_recall': tensor(0.1427), 'rougeL_fmeasure': tensor(0.1931), 'rougeL_precision': tensor(0.1738), 'rougeL_recall': tensor(0.2852), 'rougeLsum_fmeasure': tensor(0.2401), 'rougeLsum_precision': tensor(0.2232), 'rougeLsum_recall': tensor(0.3419)}",0.03,0.88,0.84,gpt4_few_1_2_100_313.csv
7,"{'rouge1_fmeasure': tensor(0.2961), 'rouge1_precision': tensor(0.3034), 'rouge1_recall': tensor(0.3653), 'rouge2_fmeasure': tensor(0.0937), 'rouge2_precision': tensor(0.0961), 'rouge2_recall': tensor(0.1183), 'rougeL_fmeasure': tensor(0.1952), 'rougeL_precision': tensor(0.1966), 'rougeL_recall': tensor(0.2476), 'rougeLsum_fmeasure': tensor(0.2424), 'rougeLsum_precision': tensor(0.2510), 'rougeLsum_recall': tensor(0.3007)}",0.07,0.92,0.87,gpt4_few_2_1_100_313.csv
8,"{'rouge1_fmeasure': tensor(0.3140), 'rouge1_precision': tensor(0.3248), 'rouge1_recall': tensor(0.3818), 'rouge2_fmeasure': tensor(0.1193), 'rouge2_precision': tensor(0.1245), 'rouge2_recall': tensor(0.1464), 'rougeL_fmeasure': tensor(0.2156), 'rougeL_precision': tensor(0.2204), 'rougeL_recall': tensor(0.2680), 'rougeLsum_fmeasure': tensor(0.2633), 'rougeLsum_precision': tensor(0.2752), 'rougeLsum_recall': tensor(0.3206)}",0.09,0.93,0.88,gpt4_few_2_3_100_313.csv
9,"{'rouge1_fmeasure': tensor(0.2862), 'rouge1_precision': tensor(0.2805), 'rouge1_recall': tensor(0.3779), 'rouge2_fmeasure': tensor(0.0932), 'rouge2_precision': tensor(0.0925), 'rouge2_recall': tensor(0.1251), 'rougeL_fmeasure': tensor(0.1919), 'rougeL_precision': tensor(0.1854), 'rougeL_recall': tensor(0.2605), 'rougeLsum_fmeasure': tensor(0.2372), 'rougeLsum_precision': tensor(0.2362), 'rougeLsum_recall': tensor(0.3130)}",0.03,0.89,0.88,gpt4_few_2_0_100_313.csv
