,rouge,SGC,WGC,LC,key
0,"{'rouge1_fmeasure': tensor(0.2429), 'rouge1_precision': tensor(0.2738), 'rouge1_recall': tensor(0.3770), 'rouge2_fmeasure': tensor(0.0757), 'rouge2_precision': tensor(0.0892), 'rouge2_recall': tensor(0.1194), 'rougeL_fmeasure': tensor(0.1688), 'rougeL_precision': tensor(0.1938), 'rougeL_recall': tensor(0.2615), 'rougeLsum_fmeasure': tensor(0.2014), 'rougeLsum_precision': tensor(0.2304), 'rougeLsum_recall': tensor(0.3137)}",0.19,0.9,0.7,llama_few_0_1_100_3.csv
1,"{'rouge1_fmeasure': tensor(0.2312), 'rouge1_precision': tensor(0.2409), 'rouge1_recall': tensor(0.4557), 'rouge2_fmeasure': tensor(0.0789), 'rouge2_precision': tensor(0.0839), 'rouge2_recall': tensor(0.1583), 'rougeL_fmeasure': tensor(0.1561), 'rougeL_precision': tensor(0.1626), 'rougeL_recall': tensor(0.3164), 'rougeLsum_fmeasure': tensor(0.1970), 'rougeLsum_precision': tensor(0.2063), 'rougeLsum_recall': tensor(0.3936)}",0.07,0.84,0.54,llama_few_0_2_100_13.csv
2,"{'rouge1_fmeasure': tensor(0.2886), 'rouge1_precision': tensor(0.3867), 'rouge1_recall': tensor(0.3176), 'rouge2_fmeasure': tensor(0.1105), 'rouge2_precision': tensor(0.1504), 'rouge2_recall': tensor(0.1209), 'rougeL_fmeasure': tensor(0.2097), 'rougeL_precision': tensor(0.2807), 'rougeL_recall': tensor(0.2307), 'rougeLsum_fmeasure': tensor(0.2362), 'rougeLsum_precision': tensor(0.3214), 'rougeLsum_recall': tensor(0.2614)}",0.34,0.98,0.87,llama_few_1_0_100_13.csv
3,"{'rouge1_fmeasure': tensor(0.2140), 'rouge1_precision': tensor(0.1930), 'rouge1_recall': tensor(0.4593), 'rouge2_fmeasure': tensor(0.0637), 'rouge2_precision': tensor(0.0573), 'rouge2_recall': tensor(0.1417), 'rougeL_fmeasure': tensor(0.1365), 'rougeL_precision': tensor(0.1192), 'rougeL_recall': tensor(0.3134), 'rougeLsum_fmeasure': tensor(0.1806), 'rougeLsum_precision': tensor(0.1653), 'rougeLsum_recall': tensor(0.3898)}",0.02,0.79,0.46,llama_few_0_1_100_13.csv
4,"{'rouge1_fmeasure': tensor(0.2257), 'rouge1_precision': tensor(0.4013), 'rouge1_recall': tensor(0.2028), 'rouge2_fmeasure': tensor(0.0784), 'rouge2_precision': tensor(0.1391), 'rouge2_recall': tensor(0.0720), 'rougeL_fmeasure': tensor(0.1696), 'rougeL_precision': tensor(0.3152), 'rougeL_recall': tensor(0.1503), 'rougeLsum_fmeasure': tensor(0.1779), 'rougeLsum_precision': tensor(0.3339), 'rougeLsum_recall': tensor(0.1591)}",0.41,0.99,0.97,llama_few_0_3_100_3.csv
5,"{'rouge1_fmeasure': tensor(0.2378), 'rouge1_precision': tensor(0.2141), 'rouge1_recall': tensor(0.4398), 'rouge2_fmeasure': tensor(0.0768), 'rouge2_precision': tensor(0.0670), 'rouge2_recall': tensor(0.1430), 'rougeL_fmeasure': tensor(0.1549), 'rougeL_precision': tensor(0.1371), 'rougeL_recall': tensor(0.3046), 'rougeLsum_fmeasure': tensor(0.2045), 'rougeLsum_precision': tensor(0.1846), 'rougeLsum_recall': tensor(0.3806)}",0.0652,0.8696,0.6848,llama_zero_0_100_100_313.csv
6,"{'rouge1_fmeasure': tensor(0.2820), 'rouge1_precision': tensor(0.3891), 'rouge1_recall': tensor(0.3113), 'rouge2_fmeasure': tensor(0.1132), 'rouge2_precision': tensor(0.1596), 'rouge2_recall': tensor(0.1233), 'rougeL_fmeasure': tensor(0.2121), 'rougeL_precision': tensor(0.2966), 'rougeL_recall': tensor(0.2378), 'rougeLsum_fmeasure': tensor(0.2299), 'rougeLsum_precision': tensor(0.3238), 'rougeLsum_recall': tensor(0.2569)}",0.31,0.93,0.95,llama_few_0_2_100_313.csv
7,"{'rouge1_fmeasure': tensor(0.2319), 'rouge1_precision': tensor(0.2097), 'rouge1_recall': tensor(0.4510), 'rouge2_fmeasure': tensor(0.0699), 'rouge2_precision': tensor(0.0629), 'rouge2_recall': tensor(0.1377), 'rougeL_fmeasure': tensor(0.1487), 'rougeL_precision': tensor(0.1322), 'rougeL_recall': tensor(0.3012), 'rougeLsum_fmeasure': tensor(0.1965), 'rougeLsum_precision': tensor(0.1792), 'rougeLsum_recall': tensor(0.3816)}",0.0667,0.8444,0.6222,llama_zero_0_100_100_13.csv
8,"{'rouge1_fmeasure': tensor(0.2216), 'rouge1_precision': tensor(0.1958), 'rouge1_recall': tensor(0.4555), 'rouge2_fmeasure': tensor(0.0723), 'rouge2_precision': tensor(0.0645), 'rouge2_recall': tensor(0.1484), 'rougeL_fmeasure': tensor(0.1510), 'rougeL_precision': tensor(0.1330), 'rougeL_recall': tensor(0.3180), 'rougeLsum_fmeasure': tensor(0.1899), 'rougeLsum_precision': tensor(0.1695), 'rougeLsum_recall': tensor(0.3923)}",0.0521,0.9062,0.6875,llama_zero_0_100_100_3.csv
9,"{'rouge1_fmeasure': tensor(0.2691), 'rouge1_precision': tensor(0.3073), 'rouge1_recall': tensor(0.3674), 'rouge2_fmeasure': tensor(0.1002), 'rouge2_precision': tensor(0.1148), 'rouge2_recall': tensor(0.1343), 'rougeL_fmeasure': tensor(0.1941), 'rougeL_precision': tensor(0.2212), 'rougeL_recall': tensor(0.2658), 'rougeLsum_fmeasure': tensor(0.2238), 'rougeLsum_precision': tensor(0.2570), 'rougeLsum_recall': tensor(0.3093)}",0.18,0.93,0.83,llama_few_0_3_100_313.csv
