,rouge,SGC,WGC,LC,key
0,"{'rouge1_fmeasure': tensor(0.2901), 'rouge1_precision': tensor(0.3388), 'rouge1_recall': tensor(0.3729), 'rouge2_fmeasure': tensor(0.1146), 'rouge2_precision': tensor(0.1321), 'rouge2_recall': tensor(0.1517), 'rougeL_fmeasure': tensor(0.2149), 'rougeL_precision': tensor(0.2524), 'rougeL_recall': tensor(0.2778), 'rougeLsum_fmeasure': tensor(0.2383), 'rougeLsum_precision': tensor(0.2797), 'rougeLsum_recall': tensor(0.3128)}",0.38,0.95,0.76,falcon_few_0_1_100_3.csv
1,"{'rouge1_fmeasure': tensor(0.2938), 'rouge1_precision': tensor(0.4070), 'rouge1_recall': tensor(0.2832), 'rouge2_fmeasure': tensor(0.1149), 'rouge2_precision': tensor(0.1608), 'rouge2_recall': tensor(0.1117), 'rougeL_fmeasure': tensor(0.2228), 'rougeL_precision': tensor(0.3062), 'rougeL_recall': tensor(0.2160), 'rougeLsum_fmeasure': tensor(0.2417), 'rougeLsum_precision': tensor(0.3381), 'rougeLsum_recall': tensor(0.2342)}",0.45,0.96,0.97,falcon_few_0_2_100_313.csv
2,"{'rouge1_fmeasure': tensor(0.2217), 'rouge1_precision': tensor(0.1965), 'rouge1_recall': tensor(0.4721), 'rouge2_fmeasure': tensor(0.0704), 'rouge2_precision': tensor(0.0609), 'rouge2_recall': tensor(0.1559), 'rougeL_fmeasure': tensor(0.1475), 'rougeL_precision': tensor(0.1293), 'rougeL_recall': tensor(0.3264), 'rougeLsum_fmeasure': tensor(0.1838), 'rougeLsum_precision': tensor(0.1636), 'rougeLsum_recall': tensor(0.3968)}",0.09,0.81,0.52,falcon_zero_0_100_100_3.csv
3,"{'rouge1_fmeasure': tensor(0.2735), 'rouge1_precision': tensor(0.3880), 'rouge1_recall': tensor(0.2673), 'rouge2_fmeasure': tensor(0.0981), 'rouge2_precision': tensor(0.1439), 'rouge2_recall': tensor(0.0963), 'rougeL_fmeasure': tensor(0.1974), 'rougeL_precision': tensor(0.2832), 'rougeL_recall': tensor(0.1942), 'rougeLsum_fmeasure': tensor(0.2150), 'rougeLsum_precision': tensor(0.3143), 'rougeLsum_recall': tensor(0.2112)}",0.35,0.97,0.97,falcon_few_0_3_100_313.csv
4,"{'rouge1_fmeasure': tensor(0.2434), 'rouge1_precision': tensor(0.2401), 'rouge1_recall': tensor(0.4668), 'rouge2_fmeasure': tensor(0.0797), 'rouge2_precision': tensor(0.0804), 'rouge2_recall': tensor(0.1575), 'rougeL_fmeasure': tensor(0.1621), 'rougeL_precision': tensor(0.1590), 'rougeL_recall': tensor(0.3221), 'rougeLsum_fmeasure': tensor(0.2069), 'rougeLsum_precision': tensor(0.2050), 'rougeLsum_recall': tensor(0.4044)}",0.13,0.82,0.48,falcon_few_0_2_100_13.csv
5,"{'rouge1_fmeasure': tensor(0.2103), 'rouge1_precision': tensor(0.4326), 'rouge1_recall': tensor(0.1939), 'rouge2_fmeasure': tensor(0.0754), 'rouge2_precision': tensor(0.1549), 'rouge2_recall': tensor(0.0713), 'rougeL_fmeasure': tensor(0.1708), 'rougeL_precision': tensor(0.3562), 'rougeL_recall': tensor(0.1574), 'rougeLsum_fmeasure': tensor(0.1768), 'rougeLsum_precision': tensor(0.3702), 'rougeLsum_recall': tensor(0.1651)}",0.6,0.97,0.97,falcon_few_0_2_100_3.csv
6,"{'rouge1_fmeasure': tensor(0.2299), 'rouge1_precision': tensor(0.2126), 'rouge1_recall': tensor(0.4533), 'rouge2_fmeasure': tensor(0.0795), 'rouge2_precision': tensor(0.0737), 'rouge2_recall': tensor(0.1596), 'rougeL_fmeasure': tensor(0.1572), 'rougeL_precision': tensor(0.1449), 'rougeL_recall': tensor(0.3245), 'rougeLsum_fmeasure': tensor(0.2001), 'rougeLsum_precision': tensor(0.1857), 'rougeLsum_recall': tensor(0.3983)}",0.07,0.87,0.59,falcon_zero_0_100_100_313.csv
7,"{'rouge1_fmeasure': tensor(0.3110), 'rouge1_precision': tensor(0.3555), 'rouge1_recall': tensor(0.3617), 'rouge2_fmeasure': tensor(0.1157), 'rouge2_precision': tensor(0.1326), 'rouge2_recall': tensor(0.1331), 'rougeL_fmeasure': tensor(0.2235), 'rougeL_precision': tensor(0.2550), 'rougeL_recall': tensor(0.2607), 'rougeLsum_fmeasure': tensor(0.2573), 'rougeLsum_precision': tensor(0.2943), 'rougeLsum_recall': tensor(0.3008)}",0.37,0.98,0.8,falcon_few_0_3_100_13.csv
8,"{'rouge1_fmeasure': tensor(0.2574), 'rouge1_precision': tensor(0.2946), 'rouge1_recall': tensor(0.4001), 'rouge2_fmeasure': tensor(0.0966), 'rouge2_precision': tensor(0.1131), 'rouge2_recall': tensor(0.1446), 'rougeL_fmeasure': tensor(0.1793), 'rougeL_precision': tensor(0.2099), 'rougeL_recall': tensor(0.2787), 'rougeLsum_fmeasure': tensor(0.2170), 'rougeLsum_precision': tensor(0.2494), 'rougeLsum_recall': tensor(0.3424)}",0.22,0.87,0.69,falcon_few_0_1_100_313.csv
9,"{'rouge1_fmeasure': tensor(0.2001), 'rouge1_precision': tensor(0.1687), 'rouge1_recall': tensor(0.4804), 'rouge2_fmeasure': tensor(0.0540), 'rouge2_precision': tensor(0.0453), 'rouge2_recall': tensor(0.1395), 'rougeL_fmeasure': tensor(0.1244), 'rougeL_precision': tensor(0.1007), 'rougeL_recall': tensor(0.3267), 'rougeLsum_fmeasure': tensor(0.1727), 'rougeLsum_precision': tensor(0.1468), 'rougeLsum_recall': tensor(0.4157)}",0.01,0.81,0.31,falcon_few_0_1_100_13.csv
10,"{'rouge1_fmeasure': tensor(0.3035), 'rouge1_precision': tensor(0.4677), 'rouge1_recall': tensor(0.2691), 'rouge2_fmeasure': tensor(0.1295), 'rouge2_precision': tensor(0.1938), 'rouge2_recall': tensor(0.1146), 'rougeL_fmeasure': tensor(0.2315), 'rougeL_precision': tensor(0.3557), 'rougeL_recall': tensor(0.2081), 'rougeLsum_fmeasure': tensor(0.2407), 'rougeLsum_precision': tensor(0.3795), 'rougeLsum_recall': tensor(0.2147)}",0.61,0.98,0.99,falcon_few_0_3_100_3.csv
11,"{'rouge1_fmeasure': tensor(0.2259), 'rouge1_precision': tensor(0.2128), 'rouge1_recall': tensor(0.4821), 'rouge2_fmeasure': tensor(0.0745), 'rouge2_precision': tensor(0.0678), 'rouge2_recall': tensor(0.1665), 'rougeL_fmeasure': tensor(0.1500), 'rougeL_precision': tensor(0.1415), 'rougeL_recall': tensor(0.3385), 'rougeLsum_fmeasure': tensor(0.1934), 'rougeLsum_precision': tensor(0.1843), 'rougeLsum_recall': tensor(0.4163)}",0.05,0.82,0.49,falcon_zero_0_100_100_13.csv
