,rouge,SGC,WGC,LC,key
0,"{'rouge1_fmeasure': tensor(0.2738), 'rouge1_precision': tensor(0.2331), 'rouge1_recall': tensor(0.4457), 'rouge2_fmeasure': tensor(0.0914), 'rouge2_precision': tensor(0.0778), 'rouge2_recall': tensor(0.1510), 'rougeL_fmeasure': tensor(0.1757), 'rougeL_precision': tensor(0.1457), 'rougeL_recall': tensor(0.3000), 'rougeLsum_fmeasure': tensor(0.2298), 'rougeLsum_precision': tensor(0.1979), 'rougeLsum_recall': tensor(0.3737)}",0.01,0.94,0.81,gpt4_few_0_2_100_313.csv
1,"{'rouge1_fmeasure': tensor(0.2683), 'rouge1_precision': tensor(0.2242), 'rouge1_recall': tensor(0.4519), 'rouge2_fmeasure': tensor(0.0873), 'rouge2_precision': tensor(0.0726), 'rouge2_recall': tensor(0.1508), 'rougeL_fmeasure': tensor(0.1736), 'rougeL_precision': tensor(0.1411), 'rougeL_recall': tensor(0.3083), 'rougeLsum_fmeasure': tensor(0.2264), 'rougeLsum_precision': tensor(0.1909), 'rougeLsum_recall': tensor(0.3819)}",0.0,0.88,0.8,gpt4_few_0_3_100_313.csv
2,"{'rouge1_fmeasure': tensor(0.2686), 'rouge1_precision': tensor(0.2251), 'rouge1_recall': tensor(0.4446), 'rouge2_fmeasure': tensor(0.0848), 'rouge2_precision': tensor(0.0706), 'rouge2_recall': tensor(0.1434), 'rougeL_fmeasure': tensor(0.1706), 'rougeL_precision': tensor(0.1397), 'rougeL_recall': tensor(0.2966), 'rougeLsum_fmeasure': tensor(0.2274), 'rougeLsum_precision': tensor(0.1923), 'rougeLsum_recall': tensor(0.3766)}",0.0,0.93,0.89,gpt4_zero_0_100_100_313.csv
3,"{'rouge1_fmeasure': tensor(0.2729), 'rouge1_precision': tensor(0.2345), 'rouge1_recall': tensor(0.4566), 'rouge2_fmeasure': tensor(0.0895), 'rouge2_precision': tensor(0.0783), 'rouge2_recall': tensor(0.1491), 'rougeL_fmeasure': tensor(0.1751), 'rougeL_precision': tensor(0.1477), 'rougeL_recall': tensor(0.3077), 'rougeLsum_fmeasure': tensor(0.2311), 'rougeLsum_precision': tensor(0.2010), 'rougeLsum_recall': tensor(0.3875)}",0.0,0.9,0.82,gpt4_few_1_3_100_313.csv
4,"{'rouge1_fmeasure': tensor(0.2767), 'rouge1_precision': tensor(0.2466), 'rouge1_recall': tensor(0.4264), 'rouge2_fmeasure': tensor(0.0918), 'rouge2_precision': tensor(0.0820), 'rouge2_recall': tensor(0.1430), 'rougeL_fmeasure': tensor(0.1802), 'rougeL_precision': tensor(0.1572), 'rougeL_recall': tensor(0.2879), 'rougeLsum_fmeasure': tensor(0.2290), 'rougeLsum_precision': tensor(0.2078), 'rougeLsum_recall': tensor(0.3508)}",0.01,0.91,0.87,gpt4_few_1_0_100_313.csv
5,"{'rouge1_fmeasure': tensor(0.2784), 'rouge1_precision': tensor(0.2497), 'rouge1_recall': tensor(0.4265), 'rouge2_fmeasure': tensor(0.0917), 'rouge2_precision': tensor(0.0825), 'rouge2_recall': tensor(0.1403), 'rougeL_fmeasure': tensor(0.1813), 'rougeL_precision': tensor(0.1593), 'rougeL_recall': tensor(0.2876), 'rougeLsum_fmeasure': tensor(0.2312), 'rougeLsum_precision': tensor(0.2112), 'rougeLsum_recall': tensor(0.3510)}",0.01,0.92,0.86,gpt4_few_1_1_100_313.csv
6,"{'rouge1_fmeasure': tensor(0.2757), 'rouge1_precision': tensor(0.2380), 'rouge1_recall': tensor(0.4480), 'rouge2_fmeasure': tensor(0.0923), 'rouge2_precision': tensor(0.0799), 'rouge2_recall': tensor(0.1529), 'rougeL_fmeasure': tensor(0.1792), 'rougeL_precision': tensor(0.1516), 'rougeL_recall': tensor(0.3044), 'rougeLsum_fmeasure': tensor(0.2315), 'rougeLsum_precision': tensor(0.2027), 'rougeLsum_recall': tensor(0.3763)}",0.03,0.91,0.8,gpt4_few_1_2_100_313.csv
7,"{'rouge1_fmeasure': tensor(0.2846), 'rouge1_precision': tensor(0.2663), 'rouge1_recall': tensor(0.4093), 'rouge2_fmeasure': tensor(0.0950), 'rouge2_precision': tensor(0.0922), 'rouge2_recall': tensor(0.1350), 'rougeL_fmeasure': tensor(0.1870), 'rougeL_precision': tensor(0.1729), 'rougeL_recall': tensor(0.2765), 'rougeLsum_fmeasure': tensor(0.2329), 'rougeLsum_precision': tensor(0.2211), 'rougeLsum_recall': tensor(0.3358)}",0.04,0.91,0.79,gpt4_few_2_1_100_313.csv
8,"{'rouge1_fmeasure': tensor(0.3064), 'rouge1_precision': tensor(0.2821), 'rouge1_recall': tensor(0.4269), 'rouge2_fmeasure': tensor(0.1155), 'rouge2_precision': tensor(0.1069), 'rouge2_recall': tensor(0.1563), 'rougeL_fmeasure': tensor(0.2056), 'rougeL_precision': tensor(0.1873), 'rougeL_recall': tensor(0.2919), 'rougeLsum_fmeasure': tensor(0.2537), 'rougeLsum_precision': tensor(0.2356), 'rougeLsum_recall': tensor(0.3535)}",0.11,0.97,0.8,gpt4_few_2_3_100_313.csv
9,"{'rouge1_fmeasure': tensor(0.2838), 'rouge1_precision': tensor(0.2537), 'rouge1_recall': tensor(0.4273), 'rouge2_fmeasure': tensor(0.0914), 'rouge2_precision': tensor(0.0828), 'rouge2_recall': tensor(0.1381), 'rougeL_fmeasure': tensor(0.1882), 'rougeL_precision': tensor(0.1656), 'rougeL_recall': tensor(0.2926), 'rougeLsum_fmeasure': tensor(0.2386), 'rougeLsum_precision': tensor(0.2160), 'rougeLsum_recall': tensor(0.3582)}",0.01,0.95,0.85,gpt4_few_2_0_100_313.csv
