,rouge,SGC,WGC,LC,key
0,"{'rouge1_fmeasure': tensor(0.2923), 'rouge1_precision': tensor(0.2862), 'rouge1_recall': tensor(0.3822), 'rouge2_fmeasure': tensor(0.0952), 'rouge2_precision': tensor(0.0952), 'rouge2_recall': tensor(0.1242), 'rougeL_fmeasure': tensor(0.1906), 'rougeL_precision': tensor(0.1809), 'rougeL_recall': tensor(0.2620), 'rougeLsum_fmeasure': tensor(0.2415), 'rougeLsum_precision': tensor(0.2395), 'rougeLsum_recall': tensor(0.3175)}",0.02,0.91,0.83,chat_gpt_few_1_3_100_313.csv
1,"{'rouge1_fmeasure': tensor(0.2942), 'rouge1_precision': tensor(0.2848), 'rouge1_recall': tensor(0.3855), 'rouge2_fmeasure': tensor(0.0966), 'rouge2_precision': tensor(0.0949), 'rouge2_recall': tensor(0.1287), 'rougeL_fmeasure': tensor(0.1926), 'rougeL_precision': tensor(0.1823), 'rougeL_recall': tensor(0.2631), 'rougeLsum_fmeasure': tensor(0.2406), 'rougeLsum_precision': tensor(0.2364), 'rougeLsum_recall': tensor(0.3159)}",0.01,0.88,0.87,chat_gpt_few_1_2_100_313.csv
2,"{'rouge1_fmeasure': tensor(0.2865), 'rouge1_precision': tensor(0.2721), 'rouge1_recall': tensor(0.3927), 'rouge2_fmeasure': tensor(0.0918), 'rouge2_precision': tensor(0.0880), 'rouge2_recall': tensor(0.1262), 'rougeL_fmeasure': tensor(0.1880), 'rougeL_precision': tensor(0.1740), 'rougeL_recall': tensor(0.2676), 'rougeLsum_fmeasure': tensor(0.2364), 'rougeLsum_precision': tensor(0.2262), 'rougeLsum_recall': tensor(0.3249)}",0.0,0.91,0.8,chat_gpt_few_1_0_100_313.csv
3,"{'rouge1_fmeasure': tensor(0.2745), 'rouge1_precision': tensor(0.2395), 'rouge1_recall': tensor(0.4309), 'rouge2_fmeasure': tensor(0.0864), 'rouge2_precision': tensor(0.0762), 'rouge2_recall': tensor(0.1353), 'rougeL_fmeasure': tensor(0.1762), 'rougeL_precision': tensor(0.1506), 'rougeL_recall': tensor(0.2865), 'rougeLsum_fmeasure': tensor(0.2298), 'rougeLsum_precision': tensor(0.2022), 'rougeLsum_recall': tensor(0.3608)}",0.0,0.88,0.82,chat_gpt_few_0_3_100_313.csv
4,"{'rouge1_fmeasure': tensor(0.2913), 'rouge1_precision': tensor(0.3019), 'rouge1_recall': tensor(0.3579), 'rouge2_fmeasure': tensor(0.0942), 'rouge2_precision': tensor(0.1004), 'rouge2_recall': tensor(0.1156), 'rougeL_fmeasure': tensor(0.1912), 'rougeL_precision': tensor(0.1934), 'rougeL_recall': tensor(0.2436), 'rougeLsum_fmeasure': tensor(0.2369), 'rougeLsum_precision': tensor(0.2495), 'rougeLsum_recall': tensor(0.2901)}",0.08,0.9,0.9,chat_gpt_few_2_0_100_313.csv
5,"{'rouge1_fmeasure': tensor(0.2904), 'rouge1_precision': tensor(0.3089), 'rouge1_recall': tensor(0.3481), 'rouge2_fmeasure': tensor(0.0934), 'rouge2_precision': tensor(0.1028), 'rouge2_recall': tensor(0.1127), 'rougeL_fmeasure': tensor(0.1975), 'rougeL_precision': tensor(0.2078), 'rougeL_recall': tensor(0.2439), 'rougeLsum_fmeasure': tensor(0.2357), 'rougeLsum_precision': tensor(0.2554), 'rougeLsum_recall': tensor(0.2824)}",0.11,0.92,0.9,chat_gpt_few_2_1_100_313.csv
6,"{'rouge1_fmeasure': tensor(0.2824), 'rouge1_precision': tensor(0.2512), 'rouge1_recall': tensor(0.4288), 'rouge2_fmeasure': tensor(0.0931), 'rouge2_precision': tensor(0.0833), 'rouge2_recall': tensor(0.1444), 'rougeL_fmeasure': tensor(0.1830), 'rougeL_precision': tensor(0.1587), 'rougeL_recall': tensor(0.2922), 'rougeLsum_fmeasure': tensor(0.2363), 'rougeLsum_precision': tensor(0.2127), 'rougeLsum_recall': tensor(0.3589)}",0.01,0.9,0.8,chat_gpt_few_0_2_100_313.csv
7,"{'rouge1_fmeasure': tensor(0.2912), 'rouge1_precision': tensor(0.3062), 'rouge1_recall': tensor(0.3519), 'rouge2_fmeasure': tensor(0.0931), 'rouge2_precision': tensor(0.1003), 'rouge2_recall': tensor(0.1139), 'rougeL_fmeasure': tensor(0.1934), 'rougeL_precision': tensor(0.1994), 'rougeL_recall': tensor(0.2421), 'rougeLsum_fmeasure': tensor(0.2361), 'rougeLsum_precision': tensor(0.2508), 'rougeLsum_recall': tensor(0.2865)}",0.1,0.88,0.9,chat_gpt_few_2_3_100_313.csv
8,"{'rouge1_fmeasure': tensor(0.2860), 'rouge1_precision': tensor(0.2904), 'rouge1_recall': tensor(0.3575), 'rouge2_fmeasure': tensor(0.0869), 'rouge2_precision': tensor(0.0904), 'rouge2_recall': tensor(0.1099), 'rougeL_fmeasure': tensor(0.1893), 'rougeL_precision': tensor(0.1879), 'rougeL_recall': tensor(0.2463), 'rougeLsum_fmeasure': tensor(0.2338), 'rougeLsum_precision': tensor(0.2415), 'rougeLsum_recall': tensor(0.2925)}",0.05,0.92,0.92,chat_gpt_few_3_0_100_313.csv
9,"{'rouge1_fmeasure': tensor(0.2851), 'rouge1_precision': tensor(0.3067), 'rouge1_recall': tensor(0.3389), 'rouge2_fmeasure': tensor(0.0883), 'rouge2_precision': tensor(0.1003), 'rouge2_recall': tensor(0.1027), 'rougeL_fmeasure': tensor(0.1904), 'rougeL_precision': tensor(0.2025), 'rougeL_recall': tensor(0.2336), 'rougeLsum_fmeasure': tensor(0.2311), 'rougeLsum_precision': tensor(0.2522), 'rougeLsum_recall': tensor(0.2758)}",0.13,0.91,0.89,chat_gpt_few_0_1_100_313.csv
