,rouge,SGC,WGC,LC,key
0,"{'rouge1_fmeasure': tensor(0.2782), 'rouge1_precision': tensor(0.2447), 'rouge1_recall': tensor(0.4400), 'rouge2_fmeasure': tensor(0.0933), 'rouge2_precision': tensor(0.0827), 'rouge2_recall': tensor(0.1475), 'rougeL_fmeasure': tensor(0.1811), 'rougeL_precision': tensor(0.1552), 'rougeL_recall': tensor(0.2985), 'rougeLsum_fmeasure': tensor(0.2313), 'rougeLsum_precision': tensor(0.2057), 'rougeLsum_recall': tensor(0.3645)}",0.02,0.9,0.78,chat_gpt_few_1_3_100_313.csv
1,"{'rouge1_fmeasure': tensor(0.2745), 'rouge1_precision': tensor(0.2406), 'rouge1_recall': tensor(0.4437), 'rouge2_fmeasure': tensor(0.0916), 'rouge2_precision': tensor(0.0802), 'rouge2_recall': tensor(0.1506), 'rougeL_fmeasure': tensor(0.1758), 'rougeL_precision': tensor(0.1500), 'rougeL_recall': tensor(0.2964), 'rougeLsum_fmeasure': tensor(0.2308), 'rougeLsum_precision': tensor(0.2044), 'rougeLsum_recall': tensor(0.3711)}",0.01,0.9,0.79,chat_gpt_few_1_2_100_313.csv
2,"{'rouge1_fmeasure': tensor(0.2771), 'rouge1_precision': tensor(0.2406), 'rouge1_recall': tensor(0.4420), 'rouge2_fmeasure': tensor(0.0921), 'rouge2_precision': tensor(0.0804), 'rouge2_recall': tensor(0.1479), 'rougeL_fmeasure': tensor(0.1801), 'rougeL_precision': tensor(0.1523), 'rougeL_recall': tensor(0.2991), 'rougeLsum_fmeasure': tensor(0.2363), 'rougeLsum_precision': tensor(0.2070), 'rougeLsum_recall': tensor(0.3750)}",0.0,0.93,0.83,chat_gpt_few_1_0_100_313.csv
3,"{'rouge1_fmeasure': tensor(0.2676), 'rouge1_precision': tensor(0.2193), 'rouge1_recall': tensor(0.4739), 'rouge2_fmeasure': tensor(0.0872), 'rouge2_precision': tensor(0.0714), 'rouge2_recall': tensor(0.1559), 'rougeL_fmeasure': tensor(0.1752), 'rougeL_precision': tensor(0.1403), 'rougeL_recall': tensor(0.3237), 'rougeLsum_fmeasure': tensor(0.2283), 'rougeLsum_precision': tensor(0.1888), 'rougeLsum_recall': tensor(0.4038)}",0.0,0.9,0.76,chat_gpt_few_0_3_100_313.csv
4,"{'rouge1_fmeasure': tensor(0.2837), 'rouge1_precision': tensor(0.2692), 'rouge1_recall': tensor(0.4108), 'rouge2_fmeasure': tensor(0.0967), 'rouge2_precision': tensor(0.0930), 'rouge2_recall': tensor(0.1390), 'rougeL_fmeasure': tensor(0.1862), 'rougeL_precision': tensor(0.1726), 'rougeL_recall': tensor(0.2790), 'rougeLsum_fmeasure': tensor(0.2345), 'rougeLsum_precision': tensor(0.2272), 'rougeLsum_recall': tensor(0.3360)}",0.01,0.94,0.83,chat_gpt_few_2_0_100_313.csv
5,"{'rouge1_fmeasure': tensor(0.2836), 'rouge1_precision': tensor(0.2724), 'rouge1_recall': tensor(0.4031), 'rouge2_fmeasure': tensor(0.0961), 'rouge2_precision': tensor(0.0943), 'rouge2_recall': tensor(0.1359), 'rougeL_fmeasure': tensor(0.1892), 'rougeL_precision': tensor(0.1785), 'rougeL_recall': tensor(0.2771), 'rougeLsum_fmeasure': tensor(0.2340), 'rougeLsum_precision': tensor(0.2291), 'rougeLsum_recall': tensor(0.3301)}",0.04,0.94,0.83,chat_gpt_few_2_1_100_313.csv
6,"{'rouge1_fmeasure': tensor(0.2641), 'rouge1_precision': tensor(0.2145), 'rouge1_recall': tensor(0.4862), 'rouge2_fmeasure': tensor(0.0889), 'rouge2_precision': tensor(0.0720), 'rouge2_recall': tensor(0.1670), 'rougeL_fmeasure': tensor(0.1702), 'rougeL_precision': tensor(0.1347), 'rougeL_recall': tensor(0.3313), 'rougeLsum_fmeasure': tensor(0.2268), 'rougeLsum_precision': tensor(0.1855), 'rougeLsum_recall': tensor(0.4206)}",0.0,0.91,0.8,chat_gpt_few_0_2_100_313.csv
7,"{'rouge1_fmeasure': tensor(0.2904), 'rouge1_precision': tensor(0.2745), 'rouge1_recall': tensor(0.4174), 'rouge2_fmeasure': tensor(0.0993), 'rouge2_precision': tensor(0.0958), 'rouge2_recall': tensor(0.1410), 'rougeL_fmeasure': tensor(0.1927), 'rougeL_precision': tensor(0.1778), 'rougeL_recall': tensor(0.2857), 'rougeLsum_fmeasure': tensor(0.2409), 'rougeLsum_precision': tensor(0.2315), 'rougeLsum_recall': tensor(0.3424)}",0.01,0.91,0.82,chat_gpt_few_2_3_100_313.csv
8,"{'rouge1_fmeasure': tensor(0.2820), 'rouge1_precision': tensor(0.2605), 'rouge1_recall': tensor(0.4233), 'rouge2_fmeasure': tensor(0.0969), 'rouge2_precision': tensor(0.0906), 'rouge2_recall': tensor(0.1484), 'rougeL_fmeasure': tensor(0.1872), 'rougeL_precision': tensor(0.1682), 'rougeL_recall': tensor(0.2945), 'rougeLsum_fmeasure': tensor(0.2364), 'rougeLsum_precision': tensor(0.2217), 'rougeLsum_recall': tensor(0.3528)}",0.01,0.93,0.85,chat_gpt_few_3_0_100_313.csv
9,"{'rouge1_fmeasure': tensor(0.2755), 'rouge1_precision': tensor(0.2554), 'rouge1_recall': tensor(0.4257), 'rouge2_fmeasure': tensor(0.0921), 'rouge2_precision': tensor(0.0874), 'rouge2_recall': tensor(0.1453), 'rougeL_fmeasure': tensor(0.1796), 'rougeL_precision': tensor(0.1619), 'rougeL_recall': tensor(0.2917), 'rougeLsum_fmeasure': tensor(0.2280), 'rougeLsum_precision': tensor(0.2120), 'rougeLsum_recall': tensor(0.3555)}",0.06,0.93,0.84,chat_gpt_few_0_1_100_313.csv
10,"{'rouge1_fmeasure': tensor(0.2844), 'rouge1_precision': tensor(0.2682), 'rouge1_recall': tensor(0.4147), 'rouge2_fmeasure': tensor(0.0971), 'rouge2_precision': tensor(0.0931), 'rouge2_recall': tensor(0.1413), 'rougeL_fmeasure': tensor(0.1889), 'rougeL_precision': tensor(0.1745), 'rougeL_recall': tensor(0.2852), 'rougeLsum_fmeasure': tensor(0.2385), 'rougeLsum_precision': tensor(0.2285), 'rougeLsum_recall': tensor(0.3454)}",0.02,0.94,0.85,chat_gpt_few_2_2_100_313.csv
11,"{'rouge1_fmeasure': tensor(0.2402), 'rouge1_precision': tensor(0.1857), 'rouge1_recall': tensor(0.5073), 'rouge2_fmeasure': tensor(0.0797), 'rouge2_precision': tensor(0.0612), 'rouge2_recall': tensor(0.1713), 'rougeL_fmeasure': tensor(0.1552), 'rougeL_precision': tensor(0.1171), 'rougeL_recall': tensor(0.3450), 'rougeLsum_fmeasure': tensor(0.2089), 'rougeLsum_precision': tensor(0.1625), 'rougeLsum_recall': tensor(0.4421)}",0.0,0.85,0.62,chat_gpt_zero_0_100_100_313.csv
12,"{'rouge1_fmeasure': tensor(0.2799), 'rouge1_precision': tensor(0.2517), 'rouge1_recall': tensor(0.4343), 'rouge2_fmeasure': tensor(0.0931), 'rouge2_precision': tensor(0.0844), 'rouge2_recall': tensor(0.1441), 'rougeL_fmeasure': tensor(0.1807), 'rougeL_precision': tensor(0.1581), 'rougeL_recall': tensor(0.2921), 'rougeLsum_fmeasure': tensor(0.2354), 'rougeLsum_precision': tensor(0.2141), 'rougeLsum_recall': tensor(0.3638)}",0.01,0.95,0.87,chat_gpt_few_1_1_100_313.csv
